Session Id: 20207-175301
DEBUG | Sat Jul 25 17:53:01 IST 2020 : Services initiated
DEBUG | Sat Jul 25 17:53:07 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:53:11 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
DEBUG | Sat Jul 25 17:53:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:14 IST 2020 : Overwrite strategy decided : 
DEBUG | Sat Jul 25 17:53:14 IST 2020 : RENAME_SKIPPED_FILES : false
DEBUG | Sat Jul 25 17:53:14 IST 2020 : ASK_FOR_EACH_FILE : false
DEBUG | Sat Jul 25 17:53:14 IST 2020 : COPY_MULTIPLE_FILES_TO_SAME_PATH__ASK_FOR_EACH_FILE : true
INFO  | Sat Jul 25 17:53:14 IST 2020 : Copying 10 files.
--------------------------------------------------------------------------------
INFO  | Sat Jul 25 17:53:14 IST 2020 : 0 of 10 copied
DEBUG | Sat Jul 25 17:53:14 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:53:14 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:53:14 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-4\1.bmp
WARN  | Sat Jul 25 17:53:14 IST 2020 : Same named file exists : 1.bmp
WARN  | Sat Jul 25 17:53:14 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 17:53:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:14 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 17:53:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:17 IST 2020 : Copy completed: 1.bmp
DEBUG | Sat Jul 25 17:53:17 IST 2020 : 1.bmp : Data integrity check passed.
INFO  | Sat Jul 25 17:53:17 IST 2020 : 1 of 10 copied
DEBUG | Sat Jul 25 17:53:17 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:53:17 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:53:17 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-5\1.bmp
WARN  | Sat Jul 25 17:53:17 IST 2020 : Same named file exists : 1.bmp
WARN  | Sat Jul 25 17:53:17 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 17:53:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:17 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 17:53:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:53:20 IST 2020 : Copy completed: 1.bmp
DEBUG | Sat Jul 25 17:53:20 IST 2020 : 1.bmp : Data integrity check passed.
INFO  | Sat Jul 25 17:53:20 IST 2020 : 2 of 10 copied
DEBUG | Sat Jul 25 17:53:20 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:53:20 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:53:20 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-6\1.bmp
WARN  | Sat Jul 25 17:53:20 IST 2020 : Same named file exists : 1.bmp
WARN  | Sat Jul 25 17:53:20 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 17:53:20 IST 2020 : Setting UI for files in bucket...
