WARN  | Tue Jul 28 21:31:55 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-213155
DEBUG | Tue Jul 28 21:31:55 IST 2020 : Services initiated
DEBUG | Tue Jul 28 21:31:57 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\kWTwXAccVb1595952115641
DEBUG | Tue Jul 28 21:31:57 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:31:57 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:31:57 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 21:31:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:31:57 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\VdFYYvamjH1595952115640
DEBUG | Tue Jul 28 21:31:57 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 21:31:57 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 21:31:57 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 21:31:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:31:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:32:15 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 21:32:22 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 21:32:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:32:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:32:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:32:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:32:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:32:25 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:32:25 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:32:26 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:32:26 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:32:27 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:32:27 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:32:28 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:32:28 IST 2020 : Setting UI for files in bucket...
