DEBUG | Wed Jul 29 23:19:59 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:19:59 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:19:59 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:19:59 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:19:59 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:19:59 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Wed Jul 29 23:19:59 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20211-231959
DEBUG | Wed Jul 29 23:19:59 IST 2020 : Services initiated
DEBUG | Wed Jul 29 23:20:07 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\kvOrXwcddJ1596044999895
DEBUG | Wed Jul 29 23:20:07 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:20:07 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:20:07 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Wed Jul 29 23:20:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:07 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\WCmxhpTkdm1596044999896
DEBUG | Wed Jul 29 23:20:07 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:20:07 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:20:07 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Wed Jul 29 23:20:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:07 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:20:09 IST 2020 : Files with same names and relative paths copied together from different sources. Will show src copy strategy dialog.
DEBUG | Wed Jul 29 23:20:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:11 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:11 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:14 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:20:14 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
DEBUG | Wed Jul 29 23:20:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:23 IST 2020 : Overwrite strategy decided : 
DEBUG | Wed Jul 29 23:20:23 IST 2020 : RENAME_SKIPPED_FILES : false
DEBUG | Wed Jul 29 23:20:23 IST 2020 : ASK_FOR_EACH_FILE : false
INFO  | Wed Jul 29 23:20:23 IST 2020 : Copying 2 files.
--------------------------------------------------------------------------------
INFO  | Wed Jul 29 23:20:23 IST 2020 : 0 of 2 copied
DEBUG | Wed Jul 29 23:20:23 IST 2020 : Setting UI for files in bucket...
----------------------------------------------

DEBUG | Wed Jul 29 23:20:23 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:20:23 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Wed Jul 29 23:20:23 IST 2020 : Same named file exists : 1.bmp
INFO  | Wed Jul 29 23:20:23 IST 2020 : Skipping the file (not even renaming)
INFO  | Wed Jul 29 23:20:23 IST 2020 : 1 of 2 copied
DEBUG | Wed Jul 29 23:20:23 IST 2020 : Setting UI for files in bucket...

----------------------------------------------

DEBUG | Wed Jul 29 23:20:24 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:20:24 IST 2020 : Skipping the file as the file has been marked to be ignored.
INFO  | Wed Jul 29 23:20:24 IST 2020 : 2 of 2 copied
DEBUG | Wed Jul 29 23:20:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:24 IST 2020 : Setting UI for files in bucket...
