DEBUG | Tue Jul 28 23:03:32 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:03:32 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:03:33 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:03:33 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:03:33 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:03:33 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Tue Jul 28 23:03:33 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-230333
DEBUG | Tue Jul 28 23:03:33 IST 2020 : Services initiated
DEBUG | Tue Jul 28 23:03:34 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\KDWUJYbXTy1595957613003
DEBUG | Tue Jul 28 23:03:34 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:03:34 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:03:34 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 23:03:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:34 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\kIMIbGWCdR1595957613004
DEBUG | Tue Jul 28 23:03:34 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:03:34 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:03:34 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 23:03:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:34 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 23:03:39 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
INFO  | Tue Jul 28 23:03:39 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 23:03:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:49 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:49 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:03:52 IST 2020 : Setting UI for files in bucket...
