WARN  | Tue Jul 28 21:21:30 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-212130
DEBUG | Tue Jul 28 21:21:30 IST 2020 : Services initiated
DEBUG | Tue Jul 28 21:21:32 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\HtnLsIpxuo1595951490969
DEBUG | Tue Jul 28 21:21:32 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 21:21:32 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 21:21:32 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 21:21:32 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:32 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\zTgIaNcMcX1595951490970
DEBUG | Tue Jul 28 21:21:32 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:21:32 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:21:32 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 21:21:32 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:32 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 21:21:38 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
INFO  | Tue Jul 28 21:21:38 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 21:21:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:49 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:49 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:21:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:22:00 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:22:00 IST 2020 : Setting UI for files in bucket...
