DEBUG | Tue Jul 28 22:59:48 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 22:59:48 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 22:59:48 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 22:59:48 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 22:59:48 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 22:59:48 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Tue Jul 28 22:59:48 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-225948
DEBUG | Tue Jul 28 22:59:48 IST 2020 : Services initiated
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\eGXmLMtSDU1595957388655
DEBUG | Tue Jul 28 22:59:50 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\hRcdugHaul1595957388654
DEBUG | Tue Jul 28 22:59:50 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 22:59:55 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
INFO  | Tue Jul 28 22:59:55 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 22:59:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:00 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:00 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:01 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:01 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:03 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:03 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:04 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:04 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:08 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:08 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:11 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:11 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:15 IST 2020 : Setting UI for files in bucket...
WARN  | Tue Jul 28 22:59:48 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-225948
DEBUG | Tue Jul 28 22:59:48 IST 2020 : Services initiated
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\eGXmLMtSDU1595957388655
DEBUG | Tue Jul 28 22:59:50 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\hRcdugHaul1595957388654
DEBUG | Tue Jul 28 22:59:50 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:50 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 22:59:55 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
INFO  | Tue Jul 28 22:59:55 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 22:59:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 22:59:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:00 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:00 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:01 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:01 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:03 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:00:03 IST 2020 : Setting UI for files in bucket...
