Session Id: 20207-170229
DEBUG | Sat Jul 25 17:02:29 IST 2020 : Services initiated
DEBUG | Sat Jul 25 17:02:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Source: 1.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Destination: 1.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Source: 2.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Destination: 2.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Source: 3.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Destination: 3.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Source: 1.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Destination: 1.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Source: 2.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Destination: 2.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Source: 3.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Destination: 3.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Source: 1.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Destination: 1.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Source: 2.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Destination: 2.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Source: 3.bmp) :: #
DEBUG | Sat Jul 25 17:02:41 IST 2020 : File hash (Destination: 3.bmp) :: #
INFO  | Sat Jul 25 17:02:41 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
DEBUG | Sat Jul 25 17:02:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:02:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 17:02:42 IST 2020 : Overwrite strategy decided : 
DEBUG | Sat Jul 25 17:02:42 IST 2020 : RENAME_SKIPPED_FILES : false
DEBUG | Sat Jul 25 17:02:42 IST 2020 : ASK_FOR_EACH_FILE : false
DEBUG | Sat Jul 25 17:02:42 IST 2020 : COPY_MULTIPLE_FILES_TO_SAME_PATH__ASK_FOR_EACH_FILE : true
INFO  | Sat Jul 25 17:02:42 IST 2020 : Copying 10 files.
--------------------------------------------------------------------------------
INFO  | Sat Jul 25 17:02:42 IST 2020 : 0 of 10 copied
DEBUG | Sat Jul 25 17:02:42 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:02:42 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:02:42 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-4\1.bmp
DEBUG | Sat Jul 25 17:02:42 IST 2020 : File hash (Source: 1.bmp) :: #
DEBUG | Sat Jul 25 17:02:42 IST 2020 : File hash (Destination: 1.bmp) :: #
INFO  | Sat Jul 25 17:02:42 IST 2020 : Skipping the file as same file already exists in destination.
INFO  | Sat Jul 25 17:02:42 IST 2020 : 1 of 10 copied
DEBUG | Sat Jul 25 17:02:42 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:02:42 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:02:42 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-5\1.bmp
DEBUG | Sat Jul 25 17:02:42 IST 2020 : File hash (Source: 1.bmp) :: #
DEBUG | Sat Jul 25 17:02:42 IST 2020 : File hash (Destination: 1.bmp) :: #
INFO  | Sat Jul 25 17:02:42 IST 2020 : Skipping the file as same file already exists in destination.
INFO  | Sat Jul 25 17:02:42 IST 2020 : 2 of 10 copied
DEBUG | Sat Jul 25 17:02:42 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:02:42 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:02:43 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-6\1.bmp
DEBUG | Sat Jul 25 17:02:43 IST 2020 : File hash (Source: 1.bmp) :: #
DEBUG | Sat Jul 25 17:02:43 IST 2020 : File hash (Destination: 1.bmp) :: #
INFO  | Sat Jul 25 17:02:43 IST 2020 : Skipping the file as same file already exists in destination.
INFO  | Sat Jul 25 17:02:43 IST 2020 : 3 of 10 copied
DEBUG | Sat Jul 25 17:02:43 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:02:43 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:02:43 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-4\2.bmp
DEBUG | Sat Jul 25 17:02:43 IST 2020 : File hash (Source: 2.bmp) :: #
DEBUG | Sat Jul 25 17:02:43 IST 2020 : File hash (Destination: 2.bmp) :: #
INFO  | Sat Jul 25 17:02:43 IST 2020 : Skipping the file as same file already exists in destination.
INFO  | Sat Jul 25 17:02:43 IST 2020 : 4 of 10 copied
DEBUG | Sat Jul 25 17:02:43 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:02:43 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:02:43 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-5\2.bmp
DEBUG | Sat Jul 25 17:02:43 IST 2020 : File hash (Source: 2.bmp) :: #
DEBUG | Sat Jul 25 17:02:43 IST 2020 : File hash (Destination: 2.bmp) :: #
INFO  | Sat Jul 25 17:02:43 IST 2020 : Skipping the file as same file already exists in destination.
INFO  | Sat Jul 25 17:02:43 IST 2020 : 5 of 10 copied
DEBUG | Sat Jul 25 17:02:43 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:02:43 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:02:43 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-6\2.bmp
DEBUG | Sat Jul 25 17:02:43 IST 2020 : File hash (Source: 2.bmp) :: #
DEBUG | Sat Jul 25 17:02:43 IST 2020 : File hash (Destination: 2.bmp) :: #
INFO  | Sat Jul 25 17:02:43 IST 2020 : Skipping the file as same file already exists in destination.
INFO  | Sat Jul 25 17:02:43 IST 2020 : 6 of 10 copied
DEBUG | Sat Jul 25 17:02:43 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:02:43 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:02:43 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-4\3.bmp
DEBUG | Sat Jul 25 17:02:43 IST 2020 : File hash (Source: 3.bmp) :: #
DEBUG | Sat Jul 25 17:02:43 IST 2020 : File hash (Destination: 3.bmp) :: #
INFO  | Sat Jul 25 17:02:43 IST 2020 : Skipping the file as same file already exists in destination.
INFO  | Sat Jul 25 17:02:43 IST 2020 : 7 of 10 copied
DEBUG | Sat Jul 25 17:02:43 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 17:02:43 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 17:02:43 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-5\3.bmp
DEBUG | Sat Jul 25 17:02:43 IST 2020 : File hash (Source: 3.bmp) :: #
DEBUG | Sat Jul 25 17:02:43 IST 2020 : File hash (Destination: 3.bmp) :: #
INFO  | Sat Jul 25 17:02:43 IST 2020 : Skipping the file as same file already exists in destination.
