DEBUG | Tue Jul 28 23:23:36 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:23:36 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:23:36 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:23:36 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:23:36 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:23:36 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Tue Jul 28 23:23:36 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-232336
DEBUG | Tue Jul 28 23:23:36 IST 2020 : Services initiated
DEBUG | Tue Jul 28 23:23:37 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\jiUspRRhFm1595958816958
DEBUG | Tue Jul 28 23:23:37 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:23:37 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:23:37 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 23:23:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:23:37 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\oqbVFgMYFb1595958816958
DEBUG | Tue Jul 28 23:23:37 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:23:37 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:23:37 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 23:23:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:23:37 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 23:23:43 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
INFO  | Tue Jul 28 23:23:43 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 23:23:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:23:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:23:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:23:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:23:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:23:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:23:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:23:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:23:47 IST 2020 : Setting UI for files in bucket...
