DEBUG | Tue Jul 28 23:27:53 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:27:53 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:27:53 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:27:53 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:27:53 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:27:53 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Tue Jul 28 23:27:53 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-232753
DEBUG | Tue Jul 28 23:27:53 IST 2020 : Services initiated
DEBUG | Tue Jul 28 23:27:54 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\WzqLrkoQcY1595959073566
DEBUG | Tue Jul 28 23:27:54 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:27:54 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:27:54 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 23:27:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:27:54 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\zxNgyVFOUi1595959073565
DEBUG | Tue Jul 28 23:27:54 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:27:54 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:27:54 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 23:27:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:27:54 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 23:28:00 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
INFO  | Tue Jul 28 23:28:00 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 23:28:01 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:28:01 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:28:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:28:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:28:03 IST 2020 : Setting UI for files in bucket...
