WARN  | Tue Jul 28 21:49:20 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-214920
DEBUG | Tue Jul 28 21:49:20 IST 2020 : Services initiated
DEBUG | Tue Jul 28 21:49:22 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\GBrVncTIHL1595953160989
DEBUG | Tue Jul 28 21:49:22 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 21:49:22 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 21:49:22 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 21:49:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:22 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\ZOJfUaPvCS1595953160990
DEBUG | Tue Jul 28 21:49:22 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:49:22 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:49:22 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 21:49:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:22 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 21:49:33 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 21:49:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:36 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:36 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:49:44 IST 2020 : Setting UI for files in bucket...
