DEBUG | Wed Jul 29 23:20:50 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:20:50 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:20:50 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:20:50 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:20:50 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:20:50 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Wed Jul 29 23:20:50 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20211-232050
DEBUG | Wed Jul 29 23:20:50 IST 2020 : Services initiated
DEBUG | Wed Jul 29 23:20:52 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\JkykdjoliU1596045050702
DEBUG | Wed Jul 29 23:20:52 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:20:52 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:20:52 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Wed Jul 29 23:20:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:52 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\rEvWSUvMVz1596045050702
DEBUG | Wed Jul 29 23:20:52 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:20:52 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:20:52 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Wed Jul 29 23:20:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:20:52 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:21:02 IST 2020 : Files with same names and relative paths copied together from different sources. Will show src copy strategy dialog.
DEBUG | Wed Jul 29 23:21:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:03 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:03 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:04 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:04 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:05 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:21:05 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
DEBUG | Wed Jul 29 23:21:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:08 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:08 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:11 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:11 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:21:17 IST 2020 : Setting UI for files in bucket...
