DEBUG | Wed Jul 29 23:08:28 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:08:28 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:08:28 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:08:28 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:08:28 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:08:28 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Wed Jul 29 23:08:28 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20211-230828
DEBUG | Wed Jul 29 23:08:28 IST 2020 : Services initiated
DEBUG | Wed Jul 29 23:08:30 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\CkVybIBftk1596044308763
DEBUG | Wed Jul 29 23:08:30 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:08:30 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:08:30 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Wed Jul 29 23:08:30 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:30 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\JeHaMWGNPM1596044308762
DEBUG | Wed Jul 29 23:08:30 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:08:30 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:08:30 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Wed Jul 29 23:08:30 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:30 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:08:38 IST 2020 : Files with same names and relative paths copied together from different sources. Will show src copy strategy dialog.
DEBUG | Wed Jul 29 23:08:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:40 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:08:40 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
DEBUG | Wed Jul 29 23:08:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:49 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:49 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:08:55 IST 2020 : Setting UI for files in bucket...
