DEBUG | Tue Jul 28 23:25:08 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:25:08 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:25:08 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:25:08 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:25:08 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:25:08 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Tue Jul 28 23:25:08 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-232508
DEBUG | Tue Jul 28 23:25:08 IST 2020 : Services initiated
DEBUG | Tue Jul 28 23:25:09 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\uBvWAKUaCQ1595958908378
DEBUG | Tue Jul 28 23:25:09 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:25:09 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:25:09 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 23:25:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:25:09 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\XwySZCyGBD1595958908379
DEBUG | Tue Jul 28 23:25:09 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:25:09 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:25:09 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 23:25:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:25:09 IST 2020 : Setting UI for files in bucket...
