WARN  | Tue Jul 28 21:40:23 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-214023
DEBUG | Tue Jul 28 21:40:23 IST 2020 : Services initiated
DEBUG | Tue Jul 28 21:40:24 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\QjdGAXJpqq1595952623348
DEBUG | Tue Jul 28 21:40:24 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:40:24 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:40:24 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 21:40:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:24 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\WKALAFZSSz1595952623348
DEBUG | Tue Jul 28 21:40:24 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 21:40:24 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 21:40:24 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 21:40:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:24 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 21:40:29 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 21:40:30 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:30 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:31 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:31 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:32 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:32 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:36 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:36 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:40:39 IST 2020 : Setting UI for files in bucket...
