Session Id: 20207-141931
DEBUG | Sat Jul 25 14:19:31 IST 2020 : Services initiated
DEBUG | Sat Jul 25 14:19:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 14:19:45 IST 2020 : Overwrite strategy decided : 
DEBUG | Sat Jul 25 14:19:45 IST 2020 : RENAME_SKIPPED_FILES : false
DEBUG | Sat Jul 25 14:19:45 IST 2020 : ASK_FOR_EACH_FILE : true
DEBUG | Sat Jul 25 14:19:45 IST 2020 : COPY_MULTIPLE_FILES_TO_SAME_PATH__ASK_FOR_EACH_FILE : true
DEBUG | Sat Jul 25 14:19:45 IST 2020 : COPY_MULTIPLE_FILES_TO_SAME_PATH__RENAME_AND_COPY : false
DEBUG | Sat Jul 25 14:19:45 IST 2020 : COPY_MULTIPLE_FILES_TO_SAME_PATH__RENAME_AND_COPY_IF_DISTINCT : false
DEBUG | Sat Jul 25 14:19:45 IST 2020 : COPY_MULTIPLE_FILES_TO_SAME_PATH__COPY_IF_LATEST : false
INFO  | Sat Jul 25 14:19:45 IST 2020 : Copying 3 files.
--------------------------------------------------------------------------------
INFO  | Sat Jul 25 14:19:45 IST 2020 : 0 of 3 copied
DEBUG | Sat Jul 25 14:19:45 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 14:19:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 14:19:45 IST 2020 : Same named file do not exist, so copy simply : 1.bmp
DEBUG | Sat Jul 25 14:19:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 14:19:45 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 14:19:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 14:19:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 14:19:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 14:19:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 14:19:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 14:19:48 IST 2020 : Copy completed: 1.bmp
DEBUG | Sat Jul 25 14:19:48 IST 2020 : 1.bmp : Data integrity check passed.
INFO  | Sat Jul 25 14:19:48 IST 2020 : 1 of 3 copied
DEBUG | Sat Jul 25 14:19:48 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 14:19:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 14:19:48 IST 2020 : Same named file do not exist, so copy simply : 2.bmp
