WARN  | Tue Jul 28 21:55:08 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-215508
DEBUG | Tue Jul 28 21:55:08 IST 2020 : Services initiated
DEBUG | Tue Jul 28 21:55:09 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\oUXBNluvtf1595953508336
DEBUG | Tue Jul 28 21:55:09 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 21:55:09 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 21:55:09 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 21:55:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:09 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\ynQaqxfusa1595953508337
DEBUG | Tue Jul 28 21:55:09 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:55:09 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:55:09 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 21:55:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:09 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 21:55:14 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 21:55:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:19 IST 2020 : Overwrite strategy decided : 
DEBUG | Tue Jul 28 21:55:19 IST 2020 : RENAME_SKIPPED_FILES : false
DEBUG | Tue Jul 28 21:55:19 IST 2020 : ASK_FOR_EACH_FILE : true
DEBUG | Tue Jul 28 21:55:19 IST 2020 : COPY_MULTIPLE_FILES_TO_SAME_PATH__ASK_FOR_EACH_FILE : false
INFO  | Tue Jul 28 21:55:19 IST 2020 : Copying 2 files.
--------------------------------------------------------------------------------
INFO  | Tue Jul 28 21:55:19 IST 2020 : 0 of 2 copied
DEBUG | Tue Jul 28 21:55:19 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Tue Jul 28 21:55:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:19 IST 2020 : Same named file do not exist, so copy simply : 1.bmp
DEBUG | Tue Jul 28 21:55:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:19 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Tue Jul 28 21:55:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:21 IST 2020 : Copy completed: 1.bmp
DEBUG | Tue Jul 28 21:55:21 IST 2020 : 1.bmp : Data integrity check passed.
INFO  | Tue Jul 28 21:55:21 IST 2020 : 1 of 2 copied
DEBUG | Tue Jul 28 21:55:21 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Tue Jul 28 21:55:22 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 21:55:22 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:55:22 IST 2020 : The file has been recently copied here. So apply duplicate source file rules.
INFO  | Tue Jul 28 21:55:22 IST 2020 : Renaming and copying file i.e. copying file with a different name
DEBUG | Tue Jul 28 21:55:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:22 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Tue Jul 28 21:55:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:24 IST 2020 : Copy completed: 1.bmp
DEBUG | Tue Jul 28 21:55:24 IST 2020 : 1.bmp : Data integrity check passed.
INFO  | Tue Jul 28 21:55:24 IST 2020 : 2 of 2 copied
DEBUG | Tue Jul 28 21:55:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:24 IST 2020 : Setting UI for files in bucket...
