Session Id: 20207-165017
DEBUG | Sat Jul 25 16:50:17 IST 2020 : Services initiated
DEBUG | Sat Jul 25 16:50:25 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 16:50:33 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
DEBUG | Sat Jul 25 16:50:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:36 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:36 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:37 IST 2020 : Overwrite strategy decided : 
DEBUG | Sat Jul 25 16:50:37 IST 2020 : RENAME_SKIPPED_FILES : false
DEBUG | Sat Jul 25 16:50:37 IST 2020 : ASK_FOR_EACH_FILE : false
DEBUG | Sat Jul 25 16:50:37 IST 2020 : COPY_MULTIPLE_FILES_TO_SAME_PATH__ASK_FOR_EACH_FILE : true
INFO  | Sat Jul 25 16:50:37 IST 2020 : Copying 19 files.
--------------------------------------------------------------------------------
INFO  | Sat Jul 25 16:50:37 IST 2020 : 0 of 19 copied
DEBUG | Sat Jul 25 16:50:37 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 16:50:37 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 16:50:37 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\Love Is Just Apain.avi
WARN  | Sat Jul 25 16:50:37 IST 2020 : Same named file exists : Love Is Just Apain.avi
WARN  | Sat Jul 25 16:50:37 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 16:50:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:37 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 16:50:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:49 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:49 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 16:50:57 IST 2020 : Setting UI for files in bucket...
