DEBUG | Wed Jul 29 22:19:46 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 22:19:46 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 22:19:47 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 22:19:47 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 22:19:47 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 22:19:47 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Wed Jul 29 22:19:47 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20211-221947
DEBUG | Wed Jul 29 22:19:47 IST 2020 : Services initiated
DEBUG | Wed Jul 29 22:19:48 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\gLlARbwCdI1596041387003
DEBUG | Wed Jul 29 22:19:48 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 22:19:48 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 22:19:48 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Wed Jul 29 22:19:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:19:48 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\SGjGGQuxmd1596041387004
DEBUG | Wed Jul 29 22:19:48 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 22:19:48 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 22:19:48 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Wed Jul 29 22:19:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:19:48 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 22:19:52 IST 2020 : Files with same names and relative paths copied together from different sources. Will show src copy strategy dialog.
DEBUG | Wed Jul 29 22:19:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:19:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:19:54 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 22:19:54 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
DEBUG | Wed Jul 29 22:19:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:19:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:19:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:19:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:19:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:19:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:19:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:19:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:19:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:19:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:19:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:20:00 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:20:00 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:20:01 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:20:01 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:20:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:20:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:20:03 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 22:20:03 IST 2020 : Setting UI for files in bucket...
