WARN  | Tue Jul 28 21:05:05 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-210505
DEBUG | Tue Jul 28 21:05:05 IST 2020 : Services initiated
DEBUG | Tue Jul 28 21:05:06 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\JpNasFvogj1595950505135
DEBUG | Tue Jul 28 21:05:06 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 21:05:06 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 21:05:06 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 21:05:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:06 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\QEHTYhOKkI1595950505136
DEBUG | Tue Jul 28 21:05:06 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:05:06 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:05:06 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 21:05:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:06 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 21:05:12 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
INFO  | Tue Jul 28 21:05:12 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 21:05:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:25 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:25 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:26 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:26 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:27 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:27 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:28 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:28 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:29 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:29 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:30 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:30 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:31 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:31 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:32 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:32 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:05:34 IST 2020 : Setting UI for files in bucket...
