DEBUG | Tue Jul 28 23:20:48 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:20:48 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:20:48 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:20:48 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:20:48 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:20:48 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Tue Jul 28 23:20:48 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-232048
DEBUG | Tue Jul 28 23:20:48 IST 2020 : Services initiated
DEBUG | Tue Jul 28 23:20:50 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\PPPiHRPiZE1595958648608
DEBUG | Tue Jul 28 23:20:50 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:20:50 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:20:50 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 23:20:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:20:50 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\ujIpudvJrs1595958648609
DEBUG | Tue Jul 28 23:20:50 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:20:50 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:20:50 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 23:20:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:20:50 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 23:20:56 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
INFO  | Tue Jul 28 23:20:56 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 23:20:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:20:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:20:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:20:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:20:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:20:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:20:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:00 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:00 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:01 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:01 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:03 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:03 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:04 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:04 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:08 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:21:08 IST 2020 : Setting UI for files in bucket...
