DEBUG | Wed Jul 29 23:17:12 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:17:12 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:17:12 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:17:12 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:17:12 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:17:12 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Wed Jul 29 23:17:12 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20211-231712
DEBUG | Wed Jul 29 23:17:12 IST 2020 : Services initiated
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\nrWrsArfHy1596044832341
DEBUG | Wed Jul 29 23:17:13 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\ySsFFCOCsm1596044832342
DEBUG | Wed Jul 29 23:17:13 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:17:20 IST 2020 : Files with same names and relative paths copied together from different sources. Will show src copy strategy dialog.
DEBUG | Wed Jul 29 23:17:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:25 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:25 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:26 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:26 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:27 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:27 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:28 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:28 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:29 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:29 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:30 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:30 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:31 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:31 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:32 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:32 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:36 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:36 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:39 IST 2020 : Setting UI for files in bucket...
WARN  | Wed Jul 29 23:17:12 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20211-231712
DEBUG | Wed Jul 29 23:17:12 IST 2020 : Services initiated
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\nrWrsArfHy1596044832341
DEBUG | Wed Jul 29 23:17:13 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\ySsFFCOCsm1596044832342
DEBUG | Wed Jul 29 23:17:13 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:13 IST 2020 : Setting UI for files in bucket...
INFO  | Wed Jul 29 23:17:20 IST 2020 : Files with same names and relative paths copied together from different sources. Will show src copy strategy dialog.
DEBUG | Wed Jul 29 23:17:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Wed Jul 29 23:17:24 IST 2020 : Setting UI for files in bucket...
