Session Id: 20207-180333
DEBUG | Sat Jul 25 18:03:33 IST 2020 : Services initiated
DEBUG | Sat Jul 25 18:03:38 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 18:03:45 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
DEBUG | Sat Jul 25 18:03:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:47 IST 2020 : Overwrite strategy decided : 
DEBUG | Sat Jul 25 18:03:47 IST 2020 : RENAME_SKIPPED_FILES : false
DEBUG | Sat Jul 25 18:03:47 IST 2020 : ASK_FOR_EACH_FILE : false
DEBUG | Sat Jul 25 18:03:47 IST 2020 : COPY_MULTIPLE_FILES_TO_SAME_PATH__ASK_FOR_EACH_FILE : true
INFO  | Sat Jul 25 18:03:47 IST 2020 : Copying 6 files.
--------------------------------------------------------------------------------
INFO  | Sat Jul 25 18:03:47 IST 2020 : 0 of 6 copied
DEBUG | Sat Jul 25 18:03:47 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 18:03:47 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 18:03:47 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Sat Jul 25 18:03:47 IST 2020 : Same named file exists : 1.bmp
WARN  | Sat Jul 25 18:03:47 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 18:03:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:47 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 18:03:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:49 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:49 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:50 IST 2020 : Copy completed: 1.bmp
DEBUG | Sat Jul 25 18:03:50 IST 2020 : 1.bmp : Data integrity check passed.
INFO  | Sat Jul 25 18:03:50 IST 2020 : 1 of 6 copied
DEBUG | Sat Jul 25 18:03:50 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 18:03:50 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 18:03:50 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-2\2.bmp
WARN  | Sat Jul 25 18:03:50 IST 2020 : Same named file exists : 2.bmp
WARN  | Sat Jul 25 18:03:50 IST 2020 : Overwriting existing file
DEBUG | Sat Jul 25 18:03:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:50 IST 2020 : Copying the file using nio.Files.copy() method.
DEBUG | Sat Jul 25 18:03:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Sat Jul 25 18:03:53 IST 2020 : Copy completed: 2.bmp
DEBUG | Sat Jul 25 18:03:53 IST 2020 : 2.bmp : Data integrity check passed.
INFO  | Sat Jul 25 18:03:53 IST 2020 : 2 of 6 copied
DEBUG | Sat Jul 25 18:03:53 IST 2020 : Setting UI for files in bucket...
----------------------------------------------
DEBUG | Sat Jul 25 18:03:53 IST 2020 : Setting UI for files in bucket...
INFO  | Sat Jul 25 18:03:53 IST 2020 : The file already exists in destination : C:\Users\user\Desktop\src\set-2\3.bmp
